date,mode,ra_hours,dec_degrees,distance_au,altitude_deg,azimuth_deg,distance_km
2025-11-20,radec,16.610617,-22.628678,2.422131294,,,
2025-11-21,radec,16.662909,-22.739158,2.422458535,,,
2025-11-22,radec,16.715352,-22.845971,2.422750815,,,
2025-11-23,radec,16.767942,-22.949077,2.423008455,,,
2025-11-24,radec,16.820677,-23.048436,2.423231824,,,
2025-11-25,radec,16.873554,-23.144008,2.423421336,,,
2025-11-26,radec,16.92657,-23.235754,2.423577453,,,
2025-11-27,radec,16.979721,-23.323638,2.423700683,,,
2025-11-28,radec,17.033005,-23.407623,2.423791583,,,
2025-11-29,radec,17.086418,-23.487675,2.423850759,,,
2025-11-30,radec,17.139956,-23.563758,2.423878861,,,
2025-12-01,radec,17.193618,-23.635841,2.423876578,,,
2025-12-02,radec,17.247399,-23.703891,2.423844618,,,
2025-12-03,radec,17.301297,-23.767879,2.423783685,,,
2025-12-04,radec,17.355308,-23.827774,2.423694441,,,
2025-12-05,radec,17.40943,-23.883547,2.423577466,,,
2025-12-06,radec,17.46366,-23.93517,2.423433226,,,
2025-12-07,radec,17.517995,-23.982616,2.423262062,,,
2025-12-08,radec,17.572432,-24.025857,2.423064198,,,
2025-12-09,radec,17.626968,-24.064867,2.422839769,,,
2025-12-10,radec,17.681598,-24.099621,2.422588849,,,
2025-12-11,radec,17.736321,-24.130093,2.422311489,,,
2025-12-12,radec,17.791131,-24.156261,2.422007736,,,
2025-12-13,radec,17.846025,-24.178102,2.421677649,,,
2025-12-14,radec,17.900998,-24.195595,2.421321307,,,
2025-12-15,radec,17.956046,-24.208721,2.420938815,,,
2025-12-16,radec,18.011166,-24.217461,2.4205303,,,
2025-12-17,radec,18.066351,-24.221799,2.420095919,,,
2025-12-18,radec,18.121599,-24.22172,2.419635858,,,
2025-12-19,radec,18.176903,-24.21721,2.419150334,,,
